2025-03-04 21:49:36,923 - ufc_model - WARNING - NaN loss detected in batch 270, skipping
2025-03-04 21:49:36,924 - ufc_model - WARNING - NaN loss detected in batch 271, skipping
2025-03-04 21:49:36,924 - ufc_model - WARNING - NaN loss detected in batch 272, skipping
2025-03-04 21:49:36,925 - ufc_model - WARNING - NaN loss detected in batch 273, skipping
2025-03-04 21:49:36,925 - ufc_model - WARNING - NaN loss detected in batch 274, skipping
2025-03-04 21:49:36,926 - ufc_model - WARNING - NaN loss detected in batch 275, skipping
2025-03-04 21:49:36,926 - ufc_model - WARNING - NaN loss detected in batch 276, skipping
2025-03-04 21:49:36,927 - ufc_model - WARNING - NaN loss detected in batch 277, skipping
2025-03-04 21:49:36,927 - ufc_model - WARNING - NaN loss detected in batch 278, skipping
2025-03-04 21:49:36,928 - ufc_model - WARNING - NaN loss detected in batch 279, skipping
2025-03-04 21:49:36,928 - ufc_model - WARNING - NaN loss detected in batch 280, skipping
2025-03-04 21:49:36,929 - ufc_model - WARNING - NaN loss detected in batch 281, skipping
2025-03-04 21:49:36,929 - ufc_model - WARNING - NaN loss detected in batch 282, skipping
2025-03-04 21:49:36,930 - ufc_model - WARNING - NaN loss detected in batch 283, skipping
2025-03-04 21:49:36,930 - ufc_model - WARNING - NaN loss detected in batch 284, skipping
2025-03-04 21:49:36,931 - ufc_model - WARNING - NaN loss detected in batch 285, skipping
2025-03-04 21:49:36,931 - ufc_model - WARNING - NaN loss detected in batch 286, skipping
2025-03-04 21:49:36,932 - ufc_model - WARNING - NaN loss detected in batch 287, skipping
2025-03-04 21:49:36,933 - ufc_model - WARNING - NaN loss detected in batch 288, skipping
2025-03-04 21:49:36,933 - ufc_model - WARNING - NaN loss detected in batch 289, skipping
2025-03-04 21:49:36,934 - ufc_model - WARNING - NaN loss detected in batch 290, skipping
2025-03-04 21:49:36,934 - ufc_model - WARNING - NaN loss detected in batch 291, skipping
2025-03-04 21:49:36,935 - ufc_model - WARNING - NaN loss detected in batch 292, skipping
2025-03-04 21:49:36,935 - ufc_model - WARNING - NaN loss detected in batch 293, skipping
2025-03-04 21:49:36,936 - ufc_model - WARNING - NaN loss detected in batch 294, skipping
2025-03-04 21:49:36,936 - ufc_model - WARNING - NaN loss detected in batch 295, skipping
2025-03-04 21:49:36,937 - ufc_model - WARNING - NaN loss detected in batch 296, skipping
